# Constructed from biom file
#OTU ID	S10-V5-Q-B61-calc	S14-V5-P-B17-calc	S15-V5-R-B78-calc	S16S17-V5-K1-G12-root	S16S17-V5-K2-G12-root	S18S19-V5-L-B17-root	S20S21-V5-M-B61-root	S22S23-V5-N-B78-root	S8-V5-O-G12-calc
f9821fb43c02be88fa4827e5ddb9dcfe	0.0	0.0	0.0	213.0	219.0	245.0	1053.0	338.0	0.0
3cbb3df78d3599b947fbb2fb7671b8b4	426.0	68.0	608.0	0.0	0.0	0.0	0.0	0.0	953.0
52af003ffdf8d1321283ea1722d67448	37.0	0.0	7.0	439.0	383.0	397.0	164.0	487.0	0.0
39b697d152eef5d7732a968f54b8c49f	545.0	109.0	643.0	0.0	0.0	0.0	0.0	0.0	501.0
95e823dc726a488002f20b54f44da933	0.0	0.0	0.0	536.0	495.0	0.0	0.0	0.0	0.0
b804868fb3fddd1c9f008dd6ac28d497	0.0	0.0	0.0	216.0	223.0	48.0	16.0	508.0	0.0
938b78aa66fd365558abfa9f03a36887	0.0	0.0	0.0	0.0	0.0	736.0	44.0	29.0	0.0
2ac137eefa611e8c6c2a576d4ad21620	237.0	169.0	47.0	0.0	0.0	0.0	0.0	0.0	225.0
276387bb1289a762631d930be78f312e	125.0	47.0	245.0	0.0	0.0	0.0	6.0	0.0	253.0
430e2740e97955ba914c491808d702c6	0.0	0.0	0.0	109.0	125.0	144.0	131.0	108.0	0.0
8aa06d7f530d17fffe4cd33489cda91f	0.0	0.0	0.0	85.0	72.0	0.0	107.0	339.0	0.0
073985546183c889b974c315e7d175d3	21.0	0.0	0.0	175.0	164.0	75.0	36.0	116.0	0.0
e97931e7f552c8afe97ce99071ee48c0	260.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	149.0
6da2bcff2966a8d175ee456e3e3f818f	0.0	0.0	0.0	283.0	265.0	0.0	0.0	0.0	0.0
488daca92f59918979ea8c6fea056ec1	165.0	362.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
ecea33fc49b55efb6726adaef3b28617	205.0	116.0	49.0	0.0	0.0	0.0	0.0	0.0	120.0
6422ad2bca359710069c3666b586bbfe	66.0	61.0	38.0	0.0	0.0	73.0	0.0	0.0	231.0
ed5399f02423e9c19ef1aabbac0a2bf1	209.0	76.0	135.0	0.0	0.0	40.0	0.0	0.0	0.0
746dde75bb7d2808c37801a76c2da61a	0.0	0.0	0.0	241.0	219.0	0.0	0.0	0.0	0.0
99ee0dea881fb7593f8260e41ee84fe6	0.0	0.0	0.0	223.0	234.0	0.0	0.0	0.0	0.0
2d76df5227874b5add5da94e09574e75	0.0	0.0	0.0	0.0	0.0	29.0	30.0	387.0	0.0
e9067a7f9ade9133b92b466f8f39380d	113.0	0.0	324.0	0.0	0.0	0.0	0.0	0.0	0.0
534228e5ba669023d3ec44649b7ea217	116.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	233.0
e63eef1672eb9de58c79c88d90964848	0.0	0.0	0.0	26.0	16.0	72.0	118.0	132.0	0.0
